Razão Social|Nome de Pregão|Segmento|Links|Nome de Pregão:|CNPJ:|Atividade Principal:|Classificação Setorial:|Site:|Códigos de Negociação1:|Códigos de Negociação2:|Códigos de Negociação3:|Códigos de Negociação4:|Códigos de Negociação5:|Códigos de Negociação6:|Códigos de Negociação7:|Códigos de Negociação8:|Códigos de Negociação9:|Códigos de Negociação10:|Códigos de Negociação11:|Códigos de Negociação12:|Códigos de Negociação13:|Códigos ISIN1:|Códigos ISIN2:|Códigos ISIN3:|Códigos ISIN4:|Códigos ISIN5:|Códigos ISIN6:|Códigos ISIN7:|Códigos ISIN8:|Códigos CVM:
POLPAR S.A.|POLPAR||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=13447|POLPAR|59.789.545/0001-71|Participação em Outras Empresas|Outros / Outros / Outros|www.polpar.com.br|PPAR3|PPAR3|||||||||||| BRPPARACNOR5  ||||||||  13447
POMIFRUTAS S/A|POMIFRUTAS|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19658|POMIFRUTAS|86.550.951/0001-50|Pomicultura Produção. Comercialização E Exportação|Consumo não Cíclico / Agropecuária / Agricultura|www.pomifrutas.com.br|FRTA3|FRTA3|||||||||||| BRFRTAACNOR8  ||||||||  19658
PORTO SEGURO S.A.|PORTO SEGURO|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16659|PORTO SEGURO|02.149.205/0001-69|Gestão de Participações Societárias (holding)|Financeiro / Previdência e Seguros / Seguradoras|www.portoseguro.com.br|PSSA3|PSSA3|||||||||||| BRPSSAACNOR7  ||||||||  16659
PORTO SUDESTE V.M. S.A.|PORTO VM||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23523|PORTO VM|18.494.485/0001-82||Bens Industriais / Transporte / Serviços de Apoio e Armazenagem|http://www.portosudeste.com/pt/vm-investors/|NENHUM|PSVM11|||||||||||| BRPSVMTRV004  ||||||||  23523
POSITIVO TECNOLOGIA S.A.|POSITIVO TEC|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20362|POSITIVO TEC|81.243.735/0001-48|Fabricação de Hardware.|Tecnologia da Informação / Computadores e Equipamentos / Computadores e Equipamentos|www.positivoinformatica.com.br/ri|POSI3|POSI3|||||||||||| BRPOSIACNOR9  ||||||||  20362
PPLA PARTICIPATIONS LTD.|PPLA|DR3|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=80152|PPLA|15.073.274/0001-88|Holding de Companhias Que Atuam Como Veículos de Investimento.|Financeiro / Serviços Financeiros Diversos / Gestão de Recursos e Investimentos|www.btgpactual.com|PPLA11|PPLA11|||||||||||| BRPPLAUNT007  ||||||||  80152
PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA|PRATICA|M2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24546|PRATICA|08.574.411/0001-00|A Companhia Tem Por Objeto Social: (i) A Fabricação de Fornos E Equipamentos Voltados Para Os Mercados de Panificação E Gastronómico; E (ii) A Participação Societária em Outras Companhias.|Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais|http://ri.praticafornos.com.br|PTCA11|PTCA3|PTCA11||||||||||| BRPTCAACNOR9| BRPTCAARNPR4  |||||||  24546
PRINER SERVIÇOS INDUSTRIAIS S.A.|PRINER|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24236|PRINER|18.593.815/0001-97|Prestação de Serviços Industriais. Principalmente Nos Segmentos Petroquímico. óleo E Gás. Siderurgia. Papel E Celulose E Químico.|Bens Industriais / Serviços / Serviços Diversos|www.priner.com.br|PRNR3|PRNR3|||||||||||| BRPRNRACNOR4  ||||||||  24236
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN|PROMAN|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19232|PROMAN|02.291.077/0001-93|Geração de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.promanmt.com.br|PRMN3B|PRMN3B|||||||||||| BRPRMNACNOR5  ||||||||  19232
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.|PROFARMA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20346|PROFARMA|45.453.214/0001-51|Profarma Atua Na Distribuição de Produtos Farmacêuticos. Higiene Pessoal E Cosméticos. Nos Mais Populosos Estados Brasileiros.|Saúde / Comércio e Distribuição / Medicamentos e Outros Produtos|www.profarma.com.br|PFRM3|PFRM3|||||||||||| BRPFRMACNOR1  ||||||||  20346
PROMPT PARTICIPACOES S.A.|PROMPT PART|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18333|PROMPT PART|02.992.449/0001-09|Participação em Outras Sociedades.|Outros / Outros / Outros|www.promptparticipacoes.com.br/home/index.aspx|PRPT3B|PRPT3B|||||||||||| BRPRPTACNOR5  ||||||||  18333
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.|QUALICORP|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22497|QUALICORP|11.992.680/0001-93|Prestação de Serviços E Gestão de Benefícios de Assistência à Saúde.|Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos|www.qualicorp.com.br|QUAL3|QUAL3|||||||||||| BRQUALACNOR6  ||||||||  22497
QUALITY SOFTWARE S.A.|QUALITY SOFT|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23302|QUALITY SOFT|35.791.391/0001-94|Serviços Nos Setores de Informática. Auditoria de Sistemas Softwares; Treinamentos.desenvolvimento de Sistemas de Suporte Técnico; Hardware E Software em Geral; Design Gráfico E Editoração Eletronica.|Tecnologia da Informação / Programas e Serviços / Programas e Serviços|www.quality.com.br|QUSW3|QUSW3|||||||||||| BRQUSWACNOR5  ||||||||  23302
RAIA DROGASIL S.A.|RAIADROGASIL|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=5258|RAIADROGASIL|61.585.865/0001-51|Comércio de Produtos Farmacêuticos. Perfumarias E Afins|Saúde / Comércio e Distribuição / Medicamentos e Outros Produtos|www.rd.com.br|RADL3|RADL3|||||||||||| BRRADLACNOR0  ||||||||  5258
RAIZEN ENERGIA S.A.|RAIZEN ENERG||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23230|RAIZEN ENERG|08.070.508/0001-78|Produção de Etanol. Açúcar E Bionergia.|Consumo não Cíclico / Alimentos Processados / Açucar e Alcool|www.raizen.com.br|NENHUM||||||||||||| ||||||||  23230
RANDON S.A. IMPLEMENTOS E PARTICIPACOES|RANDON PART|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14109|RANDON PART|89.086.144/0001-16|Indústria E Comércio de Veíc. Automotores E Rebocados Para A Movimentação E O de Transporte de Materiais; de Implem Para O Transp Rodoviário E Ferroviário E de Aparelhos Mecânicos. Peças|Bens Industriais / Material de Transporte / Material Rodoviário|www.randon.com.br/ri|RAPT3|RAPT4|RAPT3||||||||||| BRRAPTACNOR7| BRRAPTACNPR4  |||||||  14109
RB SEC COMPANHIA DE SECURITIZAÇÃO|RBCAPITALRES|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18406|RBCAPITALRES|02.773.542/0001-22|Aquisição de Créditos Imobiliários. Créditos Do Agronegocio. Titulos E Valores Mobiliarios; Gestão E Administração de Carteiras de Crédito; Securitizacao; Atividades Relacionadas.|Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis|www.rbcapital.com|NENHUM|RBRA-CRA13B0|RBRA-CRA16B0|RBRA-CRA19B0|RBRA-CRA1BB0|RBRA-CRA1CB0|RBRA-CRI1XB0|RBRA-CRI77B0|||||| BRRBRACRA025| BRRBRACRA058| BRRBRACRA082| BRRBRACRA0A1| BRRBRACRA0B9| BRRBRACRI1X3| BRRBRACRI200| BRRBRACRI4F4  |  18406
REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.|WTORRE PIC||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18430|WTORRE PIC|02.643.896/0001-52|Securitização de Recebíveis|Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis||NENHUM||||||||||||| ||||||||  18430
RECRUSUL S.A.|RECRUSUL||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12572|RECRUSUL|91.333.666/0001-17|Produção E Comercialização de Implementos Rodoviários E Equipamentos Para Refrigeração Industrial.|Bens Industriais / Material de Transporte / Material Rodoviário|www.recrusul.com.br|RCSL3|RCSL4|RCSL3||||||||||| BRRCSLACNOR4| BRRCSLACNPR1  |||||||  12572
Rede DOr São Luiz S.A.|REDE D OR|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24821|REDE D OR|06.047.087/0001-39||Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos||RDOR3|RDOR3|||||||||||| BRRDORACNOR8  ||||||||  24821
REDE ENERGIA PARTICIPAÇÕES S.A.|REDE ENERGIA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3190|REDE ENERGIA|61.584.140/0001-49|Participação em Outras Empresas (a Rede Energia Participações É Uma Holding)|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.energisa.com.br|REDE3|REDE3|||||||||||| BRREDEACNOR7  ||||||||  3190
REFINARIA DE PETROLEOS MANGUINHOS S.A.|PET MANGUINH||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9989|PET MANGUINH|33.412.081/0001-96|Fabricação de Produtos de Refino de Petróleo.|Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição|www.refinariademanguinhos.com|RPMG3|RPMG3|||||||||||| BRRPMGACNOR9  ||||||||  9989
RENOVA ENERGIA S.A.|RENOVA|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21636|RENOVA|08.534.605/0001-74|Geração de Energia Por Meio de Fontes Renováveis.|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.renovaenergia.com.br|RNEW11|RNEW3|RNEW4|RNEW11|RNEW3||||||||| BRRNEWACNOR8| BRRNEWACNPR5| BRRNEWCDAM15  ||||||  21636
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.|LE LIS BLANC|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21440|LE LIS BLANC|49.669.856/0001-43|(a) Confecção de Produtos em Geral. Através de Terceiros; (b) Importação E Exportação; (c) Exploração de Comércio E Indústria de Confecção de Produtos em Geral.|Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados|www.lelis.com.br|NENHUM|LLIS3|||||||||||| BRLLISACNOR4  ||||||||  21440
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.|AES SUL||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16527|AES SUL|02.016.440/0001-62|Distribuição de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.aessul.com.br|NENHUM||||||||||||| ||||||||  16527
RIO PARANAPANEMA ENERGIA S.A.|GER PARANAP||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18368|GER PARANAP|02.998.301/0001-81|Geração E Comercialização de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|http://www.paranapanemaenergia.com.br|GEPA3|GEPA4|GEPA3||||||||||| BRGEPAACNOR2| BRGEPAACNPR9  |||||||  18368
RNI NEGÓCIOS IMOBILIÁRIOS S.A.|RNI|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20451|RNI|67.010.660/0001-24|(i) A Compra E Venda de Imóveis; (ii) O Desmembramento Ou Loteamento de Terrenos; (iii) A Incorporação Imobiliária Ou Construção de Imóveis Destinados à Venda; (iv) A Prestação de Serviços A Terceiros|Consumo Cíclico / Construção Civil / Incorporações|http://rni.com.br/|RDNI3|RDNI3|||||||||||| BRRDNIACNOR9  ||||||||  20451
RODOVIAS DAS COLINAS S.A.|ROD COLINAS||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23167|ROD COLINAS|03.025.305/0001-46|Exploração Do Sistema Rodoviário Relativo Ao Lote 13: Malha Rodoviária Estadual de Ligação Entre Rio Claro. Piracicaba. Tietê. Jundiaí E Itu. Campinas.|Bens Industriais / Transporte / Exploração de Rodovias|www.rodoviasdascolinas.com.br|NENHUM||||||||||||| ||||||||  23167
ROSSI RESIDENCIAL S.A.|ROSSI RESID|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16306|ROSSI RESID|61.065.751/0001-80|Compra E Venda de Imóveis. Desmembramento E Loteamento de Terrenos. Incorporação Imobiliária. Construção de Imóveis Destinados à Venda. E A Participação em Outras Sociedades.|Consumo Cíclico / Construção Civil / Incorporações|www.rossiresidencial.com.br|RSID3|RSID3|||||||||||| BRRSIDACNOR8  ||||||||  16306
RUMO MALHA NORTE S.A.|ALL NORTE|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=15300|ALL NORTE|24.962.466/0001-36|(i) Construção E Exploração de Sistemas de Transporte Ferroviário de Carga. Rodovias E Hidrovias; (ii) Prestação de Serviços de Transporte de Carga em Ferrovias. Rodovias E Hidrovias; Etc.|Bens Industriais / Transporte / Transporte Ferroviário|ri.rumolog.com|FRRN3B|FRRN5B|FRRN6B|FRRN3B|FRRN5B||||||||| BRFRRNACNOR5| BRFRRNACNPA8| BRFRRNACNPB6  ||||||  15300
RUMO MALHA PAULISTA S.A.|ALL PAULISTA|MB|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17930|ALL PAULISTA|02.502.844/0001-66|Prestação de Seviços de Transporte Ferroviário de Cargas E Armazenagem.|Bens Industriais / Transporte / Transporte Ferroviário|ri.rumolog.com|NENHUM||||||||||||| ||||||||  17930
RUMO S.A.|RUMO S.A.|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17450|RUMO S.A.|02.387.241/0001-60|Prestar Serviços de Transporte de Cargas Através Dos Modais Ferroviário E Rodoviário. Dentre Outros. Isoladamente Ou Combinados Entre Si de Forma Intermodal Ou Multimodal. Entre Outros.|Bens Industriais / Transporte / Transporte Ferroviário|www.rumolog.com|RAIL3|RAIL3|||||||||||| BRRAILACNOR9  ||||||||  17450
SALUS INFRAESTRUTURA PORTUARIA SA|SALUS INFRA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23540|SALUS INFRA|15.494.541/0001-90|Infraestrutura Portuária|Bens Industriais / Transporte / Serviços de Apoio e Armazenagem|www.salusinfraestrutura.com|NENHUM||||||||||||| BRSAIPDBS000  ||||||||  23540
SANESALTO SANEAMENTO S.A.|SANESALTO||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19593|SANESALTO|02.724.983/0001-34|Tratamento de Esgoto Do Município de Salto-sp|Utilidade Pública / água e Saneamento / água e Saneamento|www.sanesalto.com.br|NENHUM||||||||||||| ||||||||  19593
SANSUY S.A. INDUSTRIA DE PLASTICOS|SANSUY||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12696|SANSUY|14.807.945/0001-24|Indústria E Comércio de Artefatos Plásticos|Materiais Básicos / Materiais Diversos / Materiais Diversos|www.sansuy.com.br|SNSY3|SNSY5|SNSY6|SNSY3|SNSY5||||||||| BRSNSYACNOR2| BRSNSYACNPA5| BRSNSYACNPB3  ||||||  12696
SANTO ANTONIO ENERGIA S.A.|STO ANTONIO||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23388|STO ANTONIO|09.391.823/0001-60|Desenvolvimento Do Projeto de Implementação Da Uhe Santo António E Seu Sistema de Transmissão. Assim Como A Condução de Todas As Atividades Necessárias à Construção. Operação. Manutenção E Exploração.|Utilidade Pública / Energia Elétrica / Energia Elétrica|http://www.santoantonioenergia.com.br/|NENHUM||||||||||||| BRSTENDBS012| BRSTENDBS020  |||||||  23388
SANTOS BRASIL PARTICIPACOES S.A.|SANTOS BRP|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17892|SANTOS BRP|02.762.121/0001-04|A Companhia Tem Por Objeto A Exploração Comercial de Instalação Portuária Através de Operações Com Contêineres. Carga Geral Ou Afins E A Participação em Outras Sociedades.|Bens Industriais / Transporte / Serviços de Apoio e Armazenagem|www.santosbrasil.com.br|STBP3|STBP3|||||||||||| BRSTBPACNOR3  ||||||||  17892
SAO CARLOS EMPREEND E PARTICIPACOES S.A.|SAO CARLOS|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=13781|SAO CARLOS|29.780.061/0001-09|Compra E Venda de Imóveis Prontos Ou A Construir; Locação de Bens Imóveis; Administração de Empreendimentos Imobiliários Próprios Ou de Terceiros; Exercício de Outras Atividades Correlatas; E Outros|Financeiro / Exploração de Imóveis / Exploração de Imóveis|www.scsa.com.br|SCAR3|SCAR3|||||||||||| BRSCARACNOR7  ||||||||  13781
SAO MARTINHO S.A.|SAO MARTINHO|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20516|SAO MARTINHO|51.466.860/0001-56|Fabricação E Comércio de Açúcar. álcool E Derivados.|Consumo não Cíclico / Alimentos Processados / Açucar e Alcool|www.saomartinho.com.br|SMTO3|SMTO3|||||||||||| BRSMTOACNOR3  ||||||||  20516
SAO PAULO TURISMO S.A.|SPTURIS||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9415|SPTURIS|62.002.886/0001-60|Cessão de áreas Para Eventos|Consumo Cíclico / Viagens e Lazer / Produção de Eventos e Shows|www.spturis.com|AHEB3|AHEB5|AHEB6|AHEB3|AHEB5||||||||| BRAHEBACNOR0| BRAHEBACNPA3| BRAHEBACNPB1  ||||||  9415
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL|SARAIVA LIVR|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=10472|SARAIVA LIVR|60.500.139/0001-26|Edição. Indústria E Comércio de Livros E Publicações em Geral.|Consumo Cíclico / Comércio / Produtos Diversos|http://www.saraivari.com.br|SLED3|SLED4|SLED11|SLED12|SLED3||||||||| BRSLEDACNOR0| BRSLEDACNPR7| BRSLEDN01M12| BRSLEDN02M11  |||||  10472
SCHULZ S.A.|SCHULZ||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14664|SCHULZ|84.693.183/0001-68|Indústria Metalúrgica|Bens Industriais / Máquinas e Equipamentos / Motores . Compressores e Outros|www.schulz.com.br|SHUL3|SHUL4|SHUL3||||||||||| BRSHULACNOR7| BRSHULACNPR4  |||||||  14664
SENDAS DISTRIBUIDORA S.A.|ASSAI|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25372|ASSAI|06.057.223/0001-71|Atacadista de Autosserviços|Consumo não Cíclico / Comércio e Distribuição / Alimentos||ASAI3|ASAI3|||||||||||| BRASAIACNOR0  ||||||||  25372
SEQUOIA LOGISTICA E TRANSPORTES S.A|SEQUOIA LOG|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25160|SEQUOIA LOG|01.599.101/0001-93|Logística.transporte Rodoviário de Cargas em Geral. Municipal. Intermunicipal. Estadual E Interestadual. Serviços de Entrega Rápida E Carga E Descarga. Dentre Outros.|Bens Industriais / Serviços / Serviços Diversos||SEQL3|SEQL3|||||||||||| BRSEQLACNOR2  ||||||||  25160
SER EDUCACIONAL S.A.|SER EDUCA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23221|SER EDUCA|04.986.320/0001-13|Desenvolvimento E A Administração de Atividades E Instituições No Setor de Educação E Outras áreas Associadas; Administração de Bens E Negócios Próprios; E Participação em Outras sociedades.|Consumo Cíclico / Diversos / Serviços Educacionais|www.sereducacional.com/ri|SEER3|SEER3|||||||||||| BRSEERACNOR5  ||||||||  23221
SIDERURGICA J. L. ALIPERTI S.A.|ALIPERTI||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12823|ALIPERTI|61.156.931/0001-78|Fabricação de Peças E Acessórios Para O Sistema de Direção E Suspensão de Veículos Automotores|Consumo não Cíclico / Agropecuária / Agricultura|www.aliperti.com.br|APTI3|APTI4|APTI3||||||||||| BRAPTIACNOR6| BRAPTIACNPR3  |||||||  12823
SIMPAR S.A.|SIMPAR|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25003|SIMPAR|07.415.333/0001-20|Participação em Outras Sociedades Empresariais. Como Sócia Ou Acionista.|Financeiro / Holdings Diversificadas / Holdings Diversificadas|http://ri.simpar.com.br/pt-br|SIMH3|SIMH3|||||||||||| BRSIMHACNOR0  ||||||||  25003
SINQIA S.A.|SINQIA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22799|SINQIA|04.065.791/0001-99|"Produção. Desenvolvimento. Licenciamento. Sublicenciamento E Distribuição de Programas de Computador (""software"") E Outras Atividades. Conforme Descritas No Estatuto Social Da Companhia."|Tecnologia da Informação / Programas e Serviços / Programas e Serviços|www.sinqia.com.br|SQIA3|SQIA3|||||||||||| BRSQIAACNOR6  ||||||||  22799
SLC AGRICOLA S.A.|SLC AGRICOLA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20745|SLC AGRICOLA|89.096.457/0001-55|Produção E Comercialização de Algodão. Soja. Milho. Entre Outros.|Consumo não Cíclico / Agropecuária / Agricultura|www.slcagricola.com.br|SLCE3|SLCE3|||||||||||| BRSLCEACNOR2  ||||||||  20745
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.|SMART FIT|M2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24260|SMART FIT|07.594.978/0001-78|A Companhia Tem Como Atividade Preponderante A Prestação de Serviços de Condicionamento Físico. Por Meio de Academias de Ginástica. Musculação. Dança E Natação.|Consumo Cíclico / Viagens e Lazer / Atividades Esportivas|www.smartfit.com.br|SMFT3|SMFT3|||||||||||| BRSMFTACNOR1  ||||||||  24260
SMILES FIDELIDADE S.A.|SMILES|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24252|SMILES|05.730.375/0001-20|Programa de Fidelização Que Reúne. em Único Ambiente Ou Plataforma. Diversos Parceiros E/ou Outros Programas de Fidelização. Permitindo Que Seus Clientes Possam Acumular Bem Como Trocar Milhas.|Consumo Cíclico / Diversos / Programas de Fidelização|http://ri.smiles.com.br/|SMLS3|SMLS3|||||||||||| BRSMLSACNOR1  ||||||||  24252
SONDOTECNICA ENGENHARIA SOLOS S.A.|SONDOTECNICA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=10880|SONDOTECNICA|33.386.210/0001-19|Serviços de Engenharia.|Bens Industriais / Construção e Engenharia / Engenharia Consultiva|www.sondotecnica.com.br|SOND3|SOND5|SOND6|SOND3|SOND5||||||||| BRSONDACNOR5| BRSONDACNPA8| BRSONDACNPB6  ||||||  10880
SPRINGS GLOBAL PARTICIPACOES S.A.|SPRINGS|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20966|SPRINGS|07.718.269/0001-57||Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos|www.springs.com|SGPS3|SGPS3|||||||||||| BRSGPSACNOR4  ||||||||  20966
STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS|STARA|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24201|STARA|91.495.499/0001-00|Indústria. Comércio. Importação E Exportação de Máquinas E Implementos Agrícolas.|Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Construção e Agrícolas|www.stara.com.br|STTR3|STTR3|||||||||||| BRSTTRACNOR1  ||||||||  24201
STATKRAFT ENERGIAS RENOVAVEIS S.A.|STATKRAFT||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22594|STATKRAFT|00.622.416/0001-41|A Companhia Atua No Ramo de Geração de Energia Elétrica Por Meio de Fontes Renováveis.|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.statkraft.com.br|STKF3|STKF3|||||||||||| BRSTKFACNOR5  ||||||||  22594
STONECO LTD.|STONE CO|DR1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=57380|STONE CO|31.752.270/0001-82||Não Classificados / Não Classificado / Não Classificados||NENHUM||||||||||||| ||||||||  57380
